,name,business_status,rating,price_level,types,vicinity
40,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
41,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
42,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
43,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
44,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
45,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
46,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
47,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
48,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
49,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
50,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
51,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
52,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
53,1959 Kitchen & Bar,CLOSED_TEMPORARILY,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 W North Ave 2nd floor, Chicago"
54,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago"
55,McDonald's,OPERATIONAL,3.8,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1737 W Fullerton Ave, Chicago"
56,Wilde Bar & Restaurant,OPERATIONAL,4.5,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3130 N Broadway, Chicago"
57,Ranalli's Lincoln Park,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1925 N Lincoln Ave, Chicago"
58,Conrad's Grill,OPERATIONAL,4.7,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1422 N Milwaukee Ave, Chicago"
59,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago"
60,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
61,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
62,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
63,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
64,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
65,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
66,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
67,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
68,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
69,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
70,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
71,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
72,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
73,1959 Kitchen & Bar,CLOSED_TEMPORARILY,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 W North Ave 2nd floor, Chicago"
74,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago"
75,McDonald's,OPERATIONAL,3.8,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1737 W Fullerton Ave, Chicago"
76,Wilde Bar & Restaurant,OPERATIONAL,4.5,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3130 N Broadway, Chicago"
77,Ranalli's Lincoln Park,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1925 N Lincoln Ave, Chicago"
78,Conrad's Grill,OPERATIONAL,4.7,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1422 N Milwaukee Ave, Chicago"
79,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago"
80,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
81,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
82,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
83,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
84,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
85,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
86,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
87,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
88,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
89,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
90,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
91,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
92,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
93,1959 Kitchen & Bar,CLOSED_TEMPORARILY,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 W North Ave 2nd floor, Chicago"
94,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago"
95,McDonald's,OPERATIONAL,3.8,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1737 W Fullerton Ave, Chicago"
96,Wilde Bar & Restaurant,OPERATIONAL,4.5,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3130 N Broadway, Chicago"
97,Ranalli's Lincoln Park,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1925 N Lincoln Ave, Chicago"
98,Conrad's Grill,OPERATIONAL,4.7,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1422 N Milwaukee Ave, Chicago"
99,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago"
